Family,MFVF11801,MFVF11801,MFVF11802,MFVF11803,MFVF11804,MFVF11806,MFVF11807,MFVF11808,MFVF11809,MFVF11815,MFVF11817,MFVF11818,MFVF11819,MFVF11821,MFVF11822,MFVF11823,MFVF11824,MFVF11825,MFVF11829,MFVF11836,MFVF11837,MFVF11838,MFVF11839,MFVF11841,MFVF11842,MFVF11844,MFVF11845,MFVF21801,MFVF21802,MFVF21803,MFVF21804,MFVF21806,MFVF21807,MFVF21808,MFVF21809,MFVF21815,MFVF21817,MFVF21818,MFVF21819,MFVF21821,MFVF21822,MFVF21823,MFVF21824,MFVF21829,MFVF21837,MFVF21838,MFVF21839,MFVF21841,MFVF21842,MFVF31801,MFVF31803,MFVF31804,MFVF31807,MFVF31808,MFVF31815,MFVF31817,MFVF31818,MFVF31819,MFVF31821,MFVF31822,MFVF31823,MFVF31824,MFVF31836,MFVF31838,MFVF31839,MFVF31841,MFVF31844,MFVF31845,MFVS11801,MFVS11802,MFVS11803,MFVS11804,MFVS11806,MFVS11807,MFVS11808,MFVS11809,MFVS11815,MFVS11817,MFVS11818,MFVS11819,MFVS11821,MFVS11822,MFVS11823,MFVS11824,MFVS11825,MFVS11829,MFVS11836,MFVS11837,MFVS11838,MFVS11839,MFVS11841,MFVS11842,MFVS11844,MFVS11845,MFVS21801,MFVS21802,MFVS21803,MFVS21804,MFVS21806,MFVS21807,MFVS21808,MFVS21809,MFVS21815,MFVS21817,MFVS21818,MFVS21819,MFVS21821,MFVS21822,MFVS21823,MFVS21824,MFVS21825,MFVS21829,MFVS21836,MFVS21837,MFVS21838,MFVS21839,MFVS21841,MFVS21842,MFVS21844,MFVS21845,MFVS31801,MFVS31802,MFVS31803,MFVS31804,MFVS31806,MFVS31807,MFVS31808,MFVS31809,MFVS31815,MFVS31817,MFVS31818,MFVS31819,MFVS31821,MFVS31822,MFVS31823,MFVS31824,MFVS31825,MFVS31836,MFVS31837,MFVS31838,MFVS31841,MFVS31842,MFVS31844,MFVS31845
NP_052173,0,0,15.34195777,0,1.225166563,0.158101232,5.117402781,1.368971449,0,0,0.28595516,0,0,1.475680702,0.677366662,5.043711762,0.409590362,0,0,1.171134206,0,0.30662407,0,0,0.144351164,0,0.199044072,0,6.095424095,0,5.083692091,0.139848059,0,0.769481627,1.648208127,0,0,3.00677546,0.576336995,6.537748783,0,5.562209713,0,0,0.955070283,0,0.418298046,0,1.940138314,0,0,1.248296788,0.301482069,1.889039233,0.862163187,0.690445488,1.054965242,2.990537157,1.163816152,0,1.599201761,0,0.45205583,0,0,0,0,0.806622957,1177.402254,1177.402254,91.89888462,13.8778011,1036.018016,166.1318679,24.92729021,39.76266425,75.25929154,223.749384,10.47526267,20.02456945,816.7731297,0,790.1711752,168.3786485,240.9185479,219.871125,887.351239,50.41652416,1131.407562,39.56031373,32.91854638,24.45840567,73.21807551,0,89.96622556,110.675895,36.12225003,12.11239184,298.6807126,76.75394905,138.4062996,19.44408148,15.52243694,198.6036205,67.94131365,75.625677,396.5211136,0,125.0677119,53.68621901,163.4723819,85.90302661,890.0612063,15.98433332,414.6906656,0,0,40.03530856,9.480918454,0,2682.024745,3767.65977,695.7236774,1.383691422,1164.910309,263.2985065,39.77015831,206.182002,57.80748546,1223.872531,444.4731969,259.2601137,103.2336536,1.793991796,273.821084,151.2575055,248.0528801,165.658517,0,267.4904456,7.96289157,3.567505538,21.44042325,0
YP_001836040,966.7237629,966.7237629,274.056848,471.2269676,282.6332837,68.70019353,55.92348256,373.6072997,176.6778231,143.6723956,571.4312549,59.80292873,101.5751966,173.147636,92.83936354,386.6474825,187.3453869,200.4499306,95.40030717,108.7505923,211.3234659,97.71393732,315.8538638,83.37108862,14.84875805,19.13672708,77.36203547,862.8172986,268.4946273,639.1521885,333.3063536,60.87025614,169.7701226,368.9762546,236.0306806,114.6442259,388.4806162,143.1597118,95.79066761,186.5382581,125.7247778,231.2457456,145.8958401,153.4303609,128.7059478,46.14415376,548.5364142,210.904274,28.55289292,994.5417419,750.7699818,106.7916615,40.19534177,470.8717548,154.218273,217.3532368,113.5211154,33.30775978,328.3153868,102.8204568,183.7350038,168.6597951,50.95175117,101.2645824,142.7610172,97.84668362,90.20425377,111.2864615,89.14914841,89.14914841,143.8980025,112.0212849,41.43279477,72.42500801,0,71.25973259,32.77136146,169.5641705,22.69009964,71.28791159,110.8637438,184.2936397,73.91654206,86.76927216,0,44.60293866,199.1410868,37.37963741,23.75680802,127.6589382,46.35237492,37.85417156,198.8022434,20.51656875,82.26301196,140.1883469,91.83255183,103.0191416,48.10843847,63.71195375,98.88697345,119.6868599,58.38604818,102.7937471,0,44.67916692,118.7863033,53.64559028,95.9249238,144.7640619,154.6822082,45.30282714,75.28568254,27.82686816,102.0508317,31.66011825,32.2558909,70.86720509,81.39756097,98.51920952,167.7835596,93.11990305,83.91633881,14.38536814,101.6612641,119.8889425,69.78229281,84.40076178,125.6370852,107.6796121,30.50298067,232.0133944,94.34785509,200.3736098,94.44489693,206.7371249,59.57962508,73.09829282,32.67357676,55.14270531,108.645064,72.97287502,105.2293549,49.78613597
P30899,19.53607402,19.53607402,34.68323185,124.2778599,193.0565493,146.6029606,83.04557145,113.1683065,272.2577762,246.6373806,49.06730587,346.3607588,158.748441,153.7786037,342.3949293,61.089725,46.07891569,135.8312789,69.30369805,277.5588069,66.63490687,243.5570734,289.8650573,326.9521034,250.8101475,451.2821879,378.6903942,42.81391713,2.994821056,85.97521494,18.62277951,92.29971906,27.2499959,68.76290763,268.5093158,377.0803552,74.8767041,230.1292284,203.5190013,159.2134115,64.53317897,13.82338194,47.7205247,41.69136681,171.6545238,416.4564883,423.2362873,115.9769685,333.3465344,6.559202981,86.33382641,636.307129,203.5003968,52.27529952,81.73307017,501.7498749,51.69329686,472.1010041,205.3692287,165.585345,184.8634779,59.75559557,255.8635999,278.3053402,296.5079849,308.6462197,475.5209997,209.8805188,77.18983311,77.18983311,248.3989199,0,92.74249819,34.65640634,103.8637092,168.5143053,0,126.7512909,55.13296141,157.0734576,128.4234481,31.72321105,113.2109779,88.45372487,80.81660329,143.8911107,101.0771795,155.0527532,0,34.07108359,211.3663961,146.5689245,47.86043927,45.81487288,57.3687168,165.2472961,199.6575274,49.9348078,234.9195517,172.4953569,140.752169,249.6601291,91.45001609,141.565953,123.5296612,117.9468798,198.5708237,275.9736004,172.8208383,24.00278048,0,238.3776983,53.40367238,203.8120376,0,121.8035105,53.54236272,51.12035367,76.65423431,118.1631994,60.95219148,36.21340039,109.5512824,10.61461913,3.261166204,14.88535951,16.94751064,128.9061546,15.97588689,109.6610326,211.7625475,39.94762923,53.39671737,57.30807126,222.6981777,184.7219457,66.99684498,61.96539971,128.2371116,9.675077986,130.5500072,102.7441595,59.90706497,65.90797745
YP_001694417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.630661445,0,0,0,0,0,0,0,0,0,0,0,1.645026908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.6289483,130.6289483,91.71652428,720.5781342,93.39104713,58.64930303,143.8112897,277.4705402,322.2840399,117.0011916,362.6052462,96.66058929,59.27236065,678.0836362,221.4997393,342.9282872,111.8999122,120.7477852,218.6765903,0,0,99.59239819,49.88542565,109.4292875,565.4894978,116.2992927,23.83008236,22.32940941,138.2244421,838.5502044,112.594578,223.4045047,40.60158722,217.2866179,75.97385952,0,78.39382344,205.8399873,64.44005097,41.53448835,139.5860617,365.5808104,95.30373682,98.79389694,394.3655806,15.50556499,0,112.4340097,222.4067374,788.7140281,44.22359672,100.1697451,569.6685588,134.9966997,349.6010155,204.7105117,976.8447075,645.7955972,279.6339256,183.4433738,619.3728456,109.323614,89.68766718,405.6220814,727.0168442,752.0965606,149.8930042,527.3584493,226.7585523,183.0362576,11.38199215,100.4719637,315.7136633,217.3434143,331.7929752,78.73170157
AAB51122,111.1148457,111.1148457,325.0126144,131.6101213,254.7547429,128.3135226,95.91389423,99.74937756,168.5309885,99.04032316,114.1939356,224.3720638,158.5856221,275.5630012,126.1268535,100.8742352,70.00136725,174.9826475,111.4770595,141.707239,165.6850057,86.33649072,165.3267736,109.799405,60.53619961,295.5898331,269.3464381,159.6816549,132.6527292,91.39431738,158.9712052,91.96408372,34.06249487,101.4092227,176.6805773,105.0864517,100.0560126,162.5383948,180.6183381,252.5343412,45.82410266,24.09794589,67.406796,89.52914468,194.4459737,125.0051952,230.4706042,65.1999864,97.56831744,103.5641114,132.923706,483.7420248,345.3853956,54.736312,64.01899035,160.6724189,68.86323841,247.8300631,153.8150326,77.43116638,91.73758756,59.0257137,176.1209515,101.0532589,149.3197297,104.4778866,337.3926677,165.0229109,31.60308385,31.60308385,92.22606052,0,20.23472688,0,28.32646615,20.57906506,0,74.71655042,0,43.43422567,0,23.86629775,32.25347081,37.55881241,35.20792891,47.69537517,13.08588485,14.30962653,0,30.67157191,40.40323561,28.81637905,9.699715691,16.02082093,9.118606565,46.66324821,47.64554632,13.37996773,36.61701514,9.114903791,40.29399944,41.36205976,11.72945859,77.56324055,23.09408688,15.20408997,37.65512069,116.5192885,47.88577395,0,9.385974081,76.06414166,26.10846205,19.89200772,0,0,20.38728427,9.785318969,14.37266893,21.40200805,0,14.77284904,30.23695651,0.454912248,0,0,9.566423772,44.83692333,1.917106427,44.34692157,22.97263054,21.44807236,2.548479693,1.943491112,28.23494753,66.84268345,17.86582533,5.020786233,13.73969053,0,16.09520636,24.10768894,4.659438387,27.74151441
ABN80187,70.1566402,70.1566402,121.8596083,98.97449937,125.9198967,163.5908581,139.2536358,114.040392,110.2842018,127.5700043,171.1560781,44.1966978,125.4791096,100.6842759,79.85238304,142.1469047,142.869019,69.09512673,123.4632547,30.21526252,154.7928887,90.67920152,82.67958378,85.58519671,22.47753839,10.70899795,89.53571051,134.7910262,216.2503768,148.8763551,193.3844188,181.2617311,292.7983894,146.0301375,132.3520133,90.47779919,169.0504917,87.28685592,137.2202352,105.5928837,151.8769486,140.277599,148.4802029,196.5744539,82.79426843,39.32183179,54.95971555,251.1474454,23.6548268,170.3343024,148.1966136,50.60060195,79.94658444,220.6453267,122.4731547,115.7215407,96.28316109,37.46601364,104.6857871,68.76554518,100.4611627,197.510119,9.744314562,80.33292966,138.1199314,89.02676731,14.96733779,108.4035852,0,0,0,0,0,0,0,1.04372599,0,11.61886833,0,6.133344535,0,0,5.273803317,3.790873923,0,0,0,1.340865004,0,0,0,0,0,4.571098428,0,7.257058059,0,0,9.680750757,7.375894758,0,3.026492177,3.919286404,7.909716737,0,0,4.266170041,1.799827828,0.900108533,0,0,0,0,0,0,0,0,0,0,2.511972776,0,0,0,0.94773385,0,0,0,22.59267921,0,21.52489411,0,0,0,0,11.63568521,1.4509333,0,0,0,0,9.867894378,8.663942022,0,0
NP_344871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284755852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9010836,21.9010836,41.39981999,177.6028117,57.49930153,136.5870132,90.49690142,55.95927172,60.83518177,31.06158117,71.42224546,25.21153656,72.36559375,171.2018944,41.37515259,169.303533,53.29210796,24.0479175,123.4267029,13.14047704,0,56.2913555,25.47719953,23.23548539,110.3069172,43.76956606,16.02015748,18.77619784,59.7788842,202.6511804,51.20041512,96.29909965,78.56750378,78.05164036,29.55558491,24.05155714,41.25008329,71.00091777,82.2005845,21.05540211,52.97289452,22.04081408,66.88526747,60.02803086,101.9524654,8.865450355,143.1450742,22.14609281,48.88650509,218.5676556,20.47016484,34.38126216,206.165367,50.36155074,182.9424047,398.024671,236.8636506,310.727121,366.4899177,82.75703954,264.0757272,50.70379848,79.12295451,203.6770816,182.0794897,176.0901038,61.81781597,152.0168052,131.5123253,126.2820557,10.11100303,101.881503,100.1254084,75.95906202,114.1451749,41.71924404
YP_001834888,0.612066161,0.612066161,1.971968562,4.185609498,2.106767899,0.969311125,0.390343462,21.10993655,1.492797207,8.955684779,0.198579972,3.330695474,1.283943435,0.196584984,0.994178076,1.590031292,0.29680461,9.588090273,6.600352195,2.142666409,2.118990038,1.870771853,1.614380458,5.327620138,0,0,0.875793916,0.314551228,1.246636462,0.494992771,2.856426331,6.361088863,13.79031643,7.497513293,1.476858927,4.948466519,0.120606772,5.257749439,2.701579663,1.178801251,0,3.373448048,1.663433843,3.800298492,0.354924767,0.533613478,1.438591165,15.50244906,0.64790928,1.366500621,3.62494824,6.305172553,2.075420042,22.66812642,4.918078704,0,11.86453663,0.401943579,7.342376807,1.711702611,1.372471275,0.661908136,2.410964428,0.876237109,2.060653849,6.481457301,0.749973976,0.495185522,52.96692834,52.96692834,40.67897606,108.4203211,51.59855354,93.89318976,43.2765455,60.80178314,112.9573963,63.37564545,54.03905344,28.44194578,49.03440744,158.0401279,58.73099148,85.16532757,36.01609494,38.3492966,92.86465867,12.35927743,15.23295329,65.35158319,26.22652893,25.30360696,99.00541848,15.32498013,39.24020229,95.42455391,56.3738901,179.1507258,117.725522,109.0616902,61.96155267,119.109281,19.22555326,38.89001379,34.53683444,23.92110156,64.61308444,25.70208679,66.71392656,60.67783637,64.55529171,47.46125456,19.45972327,8.230870751,68.41697851,57.89249204,55.11713809,93.84236352,22.07975227,34.81594267,177.8600406,42.94537866,78.73085495,366.9309558,91.60040366,306.9010887,72.72283251,61.46913853,52.15657191,42.20272585,56.69820352,154.5907511,145.7498225,152.2078922,72.91363948,143.6641607,168.9809312,54.66563262,20.72351513,45.70531971,80.66231893,48.35951952,40.91691693,27.08042485
P10337,102.8859071,102.8859071,66.73229419,55.58754116,51.55909286,16.7982559,39.50275831,71.18651537,21.11241764,37.83641635,41.10605426,43.56739104,21.1664588,70.52486298,53.44701335,80.62181394,31.40192773,115.0570833,38.26870868,62.85086908,46.77770462,7.665601738,65.09557681,10.10600109,7.2175582,59.04275292,96.73541894,98.20988337,30.01476214,49.65809829,15.68234064,9.062154235,24.97916291,66.32086045,36.47673724,69.61483481,42.2123701,50.4116601,27.37600726,79.99127923,14.64036299,25.53879949,30.21155521,18.39325006,88.70185919,52.8579389,98.47433177,14.33685139,18.07053082,71.55494161,50.82857313,203.4561648,40.13480047,55.73151767,35.59009638,129.4585291,30.68989795,40.92516444,47.33271746,25.05310185,90.44560242,25.4065749,121.4523331,23.34851321,116.4646373,14.67527763,135.8109124,104.915486,99.06028583,99.06028583,36.13075199,0,0,0,62.31822553,27.32664411,31.0347594,103.7056016,0,46.0748809,12.84234481,0,11.07498696,10.61444698,16.16332066,9.513461867,14.21397837,22.52653207,0,97.10258824,36.02836297,18.96774317,5.743252712,10.79922004,30.97910707,55.29187093,39.93150549,21.12626484,9.856764407,0,52.78206339,14.26629309,0,124.5780386,0,50.68029991,37.23202945,21.59793394,12.96156287,52.80611706,20.64914298,16.05400825,21.36146895,45.81189657,0,24.36070209,21.41694509,0,108.5934986,48.22987729,6.857121541,3.798608432,24.10128213,4.549122482,0,0,42.36877661,19.53123554,6.390354756,103.9586589,0,0,4.854247034,0,21.93239629,14.85392966,8.120829695,15.02191508,32.0592779,0,34.14134683,10.37819793,38.12267771,19.38469925
YP_001396002,0,0,0,1.434764692,0,0,0,2.281619082,0.450208681,0,0,0,2.637666404,0.588330423,0,0,0,5.928635819,0,12.68728724,1.975249025,0.5019144,0.334367822,0,6.231308011,1.39682582,0,0,0,3.75738758,0,0.167817671,0,1.809182556,0.930029532,0,0,0,3.542071114,0,0,9.263653135,0,0,17.74623836,2.416362921,0.174290853,0,8.224063505,0,3.597242767,0,0,2.448154523,0,0,0,2.276037384,0,0,1.756966939,0,10.4618635,1.263979662,0,0,3.403006918,2.225480005,62.21177371,62.21177371,54.22413632,42.50076588,85.15447561,123.0839734,26.62687818,21.29524656,37.50033427,41.88303525,37.32128607,16.52180073,33.53278922,152.150248,5.785719513,111.7849972,35.35726394,9.185775958,52.11792068,4.469550014,0,22.86836317,12.20526064,5.268817548,29.99254194,20.84434434,38.2458112,20.16684181,50.99947712,111.0302585,52.51019318,63.79079995,67.7306067,47.16595011,25.94397196,37.23800067,0,56.53669012,27.14835481,6.91238224,16.20195359,22.48086505,10.32457149,49.67435887,142.2690719,3.079577492,0,10.15029254,8.031354408,41.38314345,27.65649931,16.27758359,175.8301413,39.96796698,172.8475789,93.72950428,304.3124946,401.7693853,292.838861,74.05098119,45.38078015,91.53040852,38.4494351,129.9090562,173.2813763,116.6744664,13.62726369,40.59853312,118.3610928,76.11466489,9.042360434,26.60646446,38.78011678,21.25753946,53.27703407,17.04823429
