Family,MFVF11801,MFVF11801,MFVF11802,MFVF11803,MFVF11804,MFVF11806,MFVF11807,MFVF11808,MFVF11809,MFVF11815,MFVF11817,MFVF11818,MFVF11819,MFVF11821,MFVF11822,MFVF11823,MFVF11824,MFVF11825,MFVF11829,MFVF11836,MFVF11837,MFVF11838,MFVF11839,MFVF11841,MFVF11842,MFVF11844,MFVF11845,MFVF21801,MFVF21802,MFVF21803,MFVF21804,MFVF21806,MFVF21807,MFVF21808,MFVF21809,MFVF21815,MFVF21817,MFVF21818,MFVF21819,MFVF21821,MFVF21822,MFVF21823,MFVF21824,MFVF21829,MFVF21837,MFVF21838,MFVF21839,MFVF21841,MFVF21842,MFVF31801,MFVF31803,MFVF31804,MFVF31807,MFVF31808,MFVF31815,MFVF31817,MFVF31818,MFVF31819,MFVF31821,MFVF31822,MFVF31823,MFVF31824,MFVF31836,MFVF31838,MFVF31839,MFVF31841,MFVF31844,MFVS11801,MFVS11802,MFVS11803,MFVS11804,MFVS11806,MFVS11807,MFVS11808,MFVS11809,MFVS11815,MFVS11817,MFVS11818,MFVS11819,MFVS11821,MFVS11822,MFVS11823,MFVS11824,MFVS11825,MFVS11829,MFVS11836,MFVS11837,MFVS11838,MFVS11839,MFVS11841,MFVS11842,MFVS11844,MFVS11845,MFVS21801,MFVS21802,MFVS21803,MFVS21804,MFVS21806,MFVS21807,MFVS21808,MFVS21809,MFVS21815,MFVS21817,MFVS21818,MFVS21819,MFVS21821,MFVS21822,MFVS21823,MFVS21824,MFVS21825,MFVS21829,MFVS21836,MFVS21837,MFVS21838,MFVS21839,MFVS21841,MFVS21842,MFVS21844,MFVS21845,MFVS31801,MFVS31802,MFVS31803,MFVS31804,MFVS31806,MFVS31807,MFVS31808,MFVS31809,MFVS31815,MFVS31817,MFVS31818,MFVS31819,MFVS31821,MFVS31822,MFVS31823,MFVS31824,MFVS31825,MFVS31836,MFVS31837,MFVS31838,MFVS31841,MFVS31842,MFVS31844,MFVS31845
VFG0258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.6289483,130.6289483,0,0,70.04328535,410.5451212,0,23.12254501,0,29.2502979,0,154.6569429,0,17.3867599,187.4228563,0,167.8498684,48.2991141,393.6178625,430.7270967,168.7342518,0,16.62847522,109.4292875,141.3723744,515.0397248,103.2636902,169.0655284,0,19.50116754,250.2101734,223.4045047,40.60158722,14.48577452,126.6230992,14.37438907,0,439.7490638,21.48001699,74.76207903,89.73389682,121.8602701,0,0,0,85.28060747,382.7913837,0,0,0,154.7825885,283.8142779,56.26356136,0,31.7819105,0,33.11337991,0,0,69.41100631,0,127.5442163,62.0914619,36.21625727,160.1901521,0,29.97860085,42.18867594,20.61441384,366.0725152,159.3478902,535.8504731,12.38092797,118.5509533,290.3188533,186.9877912
VFG1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.1284743,0,0,0,0,214.8560266,0,0,19.33211786,0,139.0940792,0,24.49487766,55.94995612,24.14955705,0,0,0,99.59239819,0,0,35.34309361,33.22836935,0,0,0,546.0326913,0,116.1703424,162.4063489,0,0,0,0,46.7818153,21.48001699,0,0,0,0,24.69847423,0,0,0,0,74.13557915,283.1281126,22.11179836,66.7798301,21.09883551,67.49834983,47.67286574,1306.997882,16.55668996,796.9392476,752.860569,29.74757413,22.12045877,6.073534112,13.79810264,65.18926308,160.1901521,193.1991165,8.565314528,5.273584493,185.5297246,61.01208587,0,0,6.190463986,0,165.8964876,59.04877618
VFG0332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.06423714,163.4343325,293.2465152,0,127.1739976,214.8560266,58.5005958,120.8684154,9.666058929,118.5447213,191.2543589,85.19220742,122.4743883,0,24.14955705,131.2059542,0,0,49.7961991,0,21.88585751,176.7154681,83.07092336,0,9.569746891,0,39.00233509,50.04203468,107.2341622,203.0079361,57.9430981,25.32461984,14.37438907,235.1814703,18.71272612,85.92006796,66.45518136,89.73389682,121.8602701,285.9112105,74.0954227,0,7.752782497,0,0,0,242.6812394,22.11179836,50.08487257,28.13178068,19.28524281,63.56382099,20.99594992,215.2369694,82.44199114,107.5515099,128.9061546,22.12045877,72.88240934,89.68766718,101.4055203,12.32231939,103.4995267,42.82657264,210.9433797,103.0720692,15.25302147,68.29195292,33.49065457,68.09510385,19.75849221,82.94824381,108.2560897
VFG1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.20702398,171.0254094,31.35005909,398.7797156,51.50266572,50.09884753,102.6080652,20.38657126,165.6996095,4.265916361,67.13043876,264.5553581,131.1546941,148.7952477,0,11.24318221,153.576318,0,0,113.7767701,18.83300792,11.82213648,255.2056652,43.91682815,9.275413042,12.31500762,13.39430887,56.45812156,25.87400657,100.4643288,13.68500468,104.5433958,21.35028197,26.27464087,117.9708264,0,113.1769077,12.91975298,29.40730762,41.0737235,97.01537003,100.5036275,127.3150246,0,6.854391168,21.79029744,64.51519019,25.55172719,30.31326539,20.55250453,437.3042683,57.20704299,33.12442223,13.43740795,262.4586561,198.4353744,29.03224125,22.83083574,11.81289129,56.82435324,15.53711971,6.918270148,175.2383179,294.9213786,51.12226324,201.1835288,49.34965738,56.24205006,0,1.799084749,0.50598531,98.00321,15.98181866,10.0447987
VFG1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.60587761,56.60587761,52.99176958,208.1670166,0,0,0,0,186.2085564,0,0,0,0,241.096404,0,63.6866819,48.48996197,0,113.7118269,0,0,43.15670588,28.82269037,37.93548634,45.94602169,71.99480025,6.884246016,5.529187093,0,456.3273205,0,92.93627395,35.18804226,0,0,12.45780386,0,8.108847986,18.61601472,14.39862263,0,0,0,0,0,0,221.168355,0,0,368.0665464,0,14.46896319,60.95219148,116.9971397,55.08864486,859.7841491,0,523.9646548,428.7720193,17.18748728,0,5.263729563,5.979177812,81.60729971,85.4347478,83.71961714,3.711636295,0,214.389904,66.09642636,0,29.02523396,10.73013758,5.708008862,143.7769559,25.58780301
VFG1359,0,0,0,0,0,0,0,0.152107939,0,0,0,0,0,0,0,0,0.426656627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418045825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.896445585,5.896445585,16.55992799,108.4203211,27.40119265,116.4840324,12.98296365,35.48668367,58.19017387,13.20325947,43.64692778,7.85367288,42.80781602,92.60864476,36.91662322,57.49492116,20.20415082,15.26117841,43.43160057,1.340865004,15.23295329,17.98196078,6.004727161,13.83064606,62.21857105,41.99696681,9.32241648,7.19946236,27.52631353,98.58923592,13.55305106,34.68975503,29.32336855,24.84712713,20.57625362,28.54913385,21.23166052,16.8934333,38.78336401,11.24892393,20.70249626,44.00509755,0,26.75668042,35.60244825,2.799615902,57.59592578,40.60117016,60.23515806,91.28634584,19.96204018,16.57902032,114.285359,37.43212059,86.07600759,315.5953722,201.7846589,297.7071902,217.4930533,31.77894783,115.4727707,32.89830977,49.82648177,103.9708386,97.89398185,152.6138854,34.79659027,96.64576026,93.05117359,46.818302,11.30295054,33.25808058,67.06335985,32.10754985,56.16287341,20.43470379
VFG0342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556376406,0,0,0,0,87.08596556,87.08596556,10.19072492,101.1922997,16.8622724,42.35782997,0,2.08745198,155.173797,9.7500993,21.82346389,0,19.75745355,103.5961111,61.52770536,13.26805873,40.40830164,17.44134676,72.89219676,4.95088617,60.93181316,0,0,43.46774477,70.68618722,16.61418467,4.30265376,10.3672258,0,0,20.32957659,16.13476978,7.330842137,0,18.29000322,20.76300644,52.26254896,1.68934333,3.878336401,46.49555224,9.001085329,40.62009005,95.30373682,4.459446737,17.80122413,0,46.07674063,20.30058508,0,40.16599217,0,4.521550996,181.5867371,424.811043,57.38400506,0,77.26455313,36.64088495,3.883804523,0.895181629,0,88.82543638,67.26575039,249.7915744,4.449726448,262.8696312,18.55818148,39.03917409,115.3834553,8.262053295,0,18.14077122,0,41.62089795,2.496127707,15.99237688
VFG1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030116938,0,0,0,0,0,0,0,0,0,0,0.092515067,0,0,0,0,0,0,2.503305497,0,0.904550788,0,0,0.122158628,0,0,0.033321568,0,0,0,0,0,0,0,0,0,0.066503398,0,0,1.370737367,0,0,0,0,0,0.129785909,0,0,0,0,0.032756216,1.248659065,1.248659065,0,0,0,0,101.7253387,15.25067859,2.053770842,0,4.621439412,1.108753818,91.78499377,0.664787879,30.2933467,118.0076753,41.71562905,18.92899104,279.2628691,12.49370686,6.451603746,0,22.57070974,0.836812199,94.25691215,22.86893655,7.5929184,2.195412522,0,1.864082192,0.717514468,3.929290994,120.3120563,36.83221199,0,72.82319169,11.98964359,15.20408997,0.821294767,11.27539198,11.43667312,9.31872654,67.41337855,103.4067002,79.16309082,5.92859838,17.075498,75.23158,0,13.1452338,0,17.2350885,1.747893726,8.111146241,23.08862321,0.60208974,0.316524955,4.728290668,30.43075073,4.454845048,0,6.03780744,6.330894154,663.4285739,9.187376371,0.263822323,5.813077433,66.64104639,29.16333252,16.47550628,1.305581453,45.45863848,0,0.12591196,1.850071124,22.95376447
VFG0259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.07831231,28.07831231,0,0,30.65867709,188.5931953,0,17.40446976,0,0,0,40.88896357,0,1.712332415,22.29380493,4.939623597,0,46.51025802,81.83805727,140.425135,121.8636263,14.71251337,9.825917173,48.44575096,1.74037961,164.0920447,22.72397224,58.30878849,13.61301323,15.09018917,82.68730142,69.42840331,14.66168427,3.634508002,51.18825576,2.966143776,0,174.0681816,2.115456219,18.38785141,4.06802298,0,0,46.21608436,29.5916453,24.34817466,15.35891354,0,7.30123128,11.95021255,0,132.2015386,8.311662474,21.10338018,5.042836809,0,10.87055401,4.725510956,0,36.55131223,4.357060061,30.8095282,11.5075446,14.66331628,44.38168717,0,6.654701438,12.46483607,4.060414848,155.5602762,46.75978595,161.2512998,4.470890657,32.98784342,12.55627877,59.73871999
VFG1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.000311534,3.000311534,17.27992486,49.56357537,9.635584228,66.29921212,6.606172317,27.49326999,44.33537057,11.02185138,0,5.463424612,22.33451271,124.4791216,29.71337966,21.37892149,2.570139327,9.09983309,74.15988713,3.064834295,26.75055212,13.72474745,6.265802255,13.54838798,53.27074979,25.04166965,5.037253182,3.540028322,9.524299012,55.11199523,17.85035993,18.51990966,32.18418499,13.64119756,5.225715205,13.67319936,0,13.34993266,61.29663385,12.52054142,11.27092424,50.29154006,15.10912901,37.2266858,62.52137254,2.458199328,5.861352165,20.65925266,0,51.29847337,13.68825613,6.902155584,147.0802881,12.7170804,22.95360202,67.7545981,71.74565648,104.5605741,163.6881516,7.860131377,18.25815645,21.30557204,15.59785516,107.8089745,62.683103,102.6995303,16.29498861,71.06476664,54.374251,23.60586656,0.522847696,20.73230997,11.94343935,28.54004431,17.11630428,14.21544612
