,class,kindom,phylum,class,order,family,genus,species
k_Bacteria,kindom,k_Bacteria,,,,,,
k_Bacteria|p_Coprothermobacterota,phylum,k_Bacteria,p_Coprothermobacterota,,,,,
k_Bacteria|p_Coprothermobacterota|c_Coprothermobacteria,class,k_Bacteria,p_Coprothermobacterota,c_Coprothermobacteria,,,,
k_Bacteria|p_Coprothermobacterota|c_Coprothermobacteria|o_Coprothermobacterales,order,k_Bacteria,p_Coprothermobacterota,c_Coprothermobacteria,o_Coprothermobacterales,,,
k_Bacteria|p_Coprothermobacterota|c_Coprothermobacteria|o_Coprothermobacterales|f_Coprothermobacteraceae,family,k_Bacteria,p_Coprothermobacterota,c_Coprothermobacteria,o_Coprothermobacterales,f_Coprothermobacteraceae,,
k_Bacteria|p_Coprothermobacterota|c_Coprothermobacteria|o_Coprothermobacterales|f_Coprothermobacteraceae|g_Coprothermobacter,genus,k_Bacteria,p_Coprothermobacterota,c_Coprothermobacteria,o_Coprothermobacterales,f_Coprothermobacteraceae,g_Coprothermobacter,
k_Bacteria|p_Coprothermobacterota|c_Coprothermobacteria|o_Coprothermobacterales|f_Coprothermobacteraceae|g_Coprothermobacter|s_Coprothermobacter_proteolyticus,species,k_Bacteria,p_Coprothermobacterota,c_Coprothermobacteria,o_Coprothermobacterales,f_Coprothermobacteraceae,g_Coprothermobacter,s_Coprothermobacter_proteolyticus
k_Bacteria|p_Caldiserica,phylum,k_Bacteria,p_Caldiserica,,,,,
k_Bacteria|p_Caldiserica|c_Caldisericia,class,k_Bacteria,p_Caldiserica,c_Caldisericia,,,,
k_Bacteria|p_Caldiserica|c_Caldisericia|o_Caldisericales,order,k_Bacteria,p_Caldiserica,c_Caldisericia,o_Caldisericales,,,
k_Bacteria|p_Caldiserica|c_Caldisericia|o_Caldisericales|f_Caldisericaceae,family,k_Bacteria,p_Caldiserica,c_Caldisericia,o_Caldisericales,f_Caldisericaceae,,
k_Bacteria|p_Caldiserica|c_Caldisericia|o_Caldisericales|f_Caldisericaceae|g_Caldisericum,genus,k_Bacteria,p_Caldiserica,c_Caldisericia,o_Caldisericales,f_Caldisericaceae,g_Caldisericum,
k_Bacteria|p_Caldiserica|c_Caldisericia|o_Caldisericales|f_Caldisericaceae|g_Caldisericum|s_Caldisericum_exile,species,k_Bacteria,p_Caldiserica,c_Caldisericia,o_Caldisericales,f_Caldisericaceae,g_Caldisericum,s_Caldisericum_exile
k_Bacteria|p_Dictyoglomi,phylum,k_Bacteria,p_Dictyoglomi,,,,,
