group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
g_Acetanaerobacterium	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Acetitomaculum	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0.0006	0	0	0	0	0	0	0.0026	0	0	0	0	0	0	0.0035
g_Acinetobacter	0.0037	0	0	0.0002	0	0.0001	0	0.0002	0	0	0	0	0.0003	0.0002	0.0001	0	0	0	0	0	0	0	0	0	0	0
g_Actinomyces	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	2.00E-04	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-04	1.00E-04	0.00E+00	3.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00
g_Adlercreutzia	0.00E+00	0.00E+00	2.00E-04	2.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Agathobacter	0.0101	0.0039	0.0163	0.1105	0.0307	0.0794	0.0318	0.006	0.0506	0.0235	0.0512	0.016	0.0142	0.0197	0.02	0.0062	0.0052	0.019	0.0142	0.0716	0.0066	0.0354	0.0335	0.0051	0.0175	0.0147
g_Aggregatibacter	0.0001	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0	0	0.0002	0	0
g_Akkermansia	0.0001	0.2726	0.1225	0.0015	0.0004	0.0005	0.0012	0.0003	0.0002	0.0033	0.0002	0.0003	0.0001	0.0003	0.0004	0.0013	0.0003	0.0002	0.0003	0.0004	0.0002	0.0004	0.001	0.0002	0.0006	0.0001
g_Alistipes	0.0165	0.0035	0.0876	0.0017	0.0017	0.0004	0.0414	0.0012	0.0004	0.0268	0.0015	0.0009	0.0003	0.0012	0.0007	0.0015	0.0008	0.0005	0.0003	0.0024	0.0006	0.012	0.002	0.0004	0.0001	0.0006
g_Allisonella	0.0001	0.0003	0.0004	0.0007	0.001	0.0001	0.0001	0.0001	0	0.001	0	0.0001	0.0014	0.0003	0.0003	0.0006	0.0007	0	0.0013	0	0.0004	0.0013	0.0015	0.0022	0.0032	0.0011
g_Alloprevotella	0.0384	0.0019	0.0027	0.0206	0.0115	0.0172	0.0017	0.0115	0.0019	0.0035	0.0901	0.0408	0.0259	0.0673	0.0156	0.0059	0.0775	0.0497	0.0231	0.0598	0.0026	0.0652	0.0543	0.0576	0.0823	0.0166
g_Anaerococcus	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	3.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-04
g_Anaerofilum	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Anaeroplasma	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-04	0.00E+00	0.00E+00
g_Anaerostipes	0.0014	0.0003	0.0015	0.0009	0.0016	0.0008	0.0015	0.0003	0.0014	0.0005	0.0003	0.0002	0.0002	0.0004	0.0005	0.0005	0.0004	0.0013	0.0013	0.0005	0.0056	0.0056	0.0022	0.0012	0.0008	0.0002
g_Anaerotruncus	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Anaerovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0.0118	0.0296	0.0002
g_Angelakisella	1.00E-04	0.00E+00	3.00E-04	2.00E-04	0.00E+00	3.00E-04	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	2.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00
