Classification	MFVF11801	MFVF11802	MFVF11803	MFVF11804	MFVF11806	MFVF11807	MFVF11808	MFVF11809	MFVF11815	MFVF11817	MFVF11818	MFVF11819	MFVF11821	MFVF11822	MFVF11823	MFVF11824	MFVF11825	MFVF11829	MFVF11836	MFVF11837	MFVF11838	MFVF11839	MFVF11841	MFVF11842	MFVF11844	MFVF11845
group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
k_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Aerococcaceae|g_Abiotrophia|s_Abiotrophia_defectiva	2.25E-06	1.71E-06	1.42E-06	6.91E-06	8.23E-06	1.28E-05	5.60E-06	1.41E-05	1.27E-05	1.27E-05	3.06E-06	5.77E-06	9.92E-06	1.07E-05	6.56E-06	5.32E-05	2.81E-06	5.66E-06	1.57E-05	1.19E-05	1.02E-05	3.59E-06	7.25E-06	8.61E-06	3.80E-06	8.04E-06
k_Bacteria|p_Proteobacteria|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter_xylosoxidans	1.61E-05	3.47E-05	3.42E-05	0.000127184	0.000101082	9.89E-05	3.72E-05	4.82E-05	0.000105043	0.000127161	3.63E-05	4.82E-05	5.84E-05	6.69E-05	0.000119136	0.000206785	4.16E-05	4.43E-05	7.68E-05	0.000113304	0.000210812	5.32E-05	6.26E-05	4.42E-05	2.56E-05	4.60E-05
k_Bacteria|p_Firmicutes|c_Negativicutes|o_Acidaminococcales|f_Acidaminococcaceae|g_Acidaminococcus|s_Acidaminococcus_fermentans	0.00019147	5.27E-05	4.28E-05	0.00014124	0.000215209	0.000349561	4.11E-05	0.000141453	0.000103929	0.000109382	5.95E-05	0.000519034	0.000192768	9.33E-05	0.000496221	0.000574052	9.19E-05	8.81E-05	0.001906755	0.000161873	0.000301754	5.92E-05	7.33E-05	0.000196892	9.13E-05	0.001486281
k_Bacteria|p_Firmicutes|c_Negativicutes|o_Acidaminococcales|f_Acidaminococcaceae|g_Acidaminococcus|s_Acidaminococcus_intestini	0.000223491	3.76E-05	5.10E-05	0.000100773	0.000973218	0.000124344	1.74E-05	5.65E-05	8.42E-05	0.000124088	4.22E-05	0.000240309	0.000301802	5.94E-05	0.001522361	0.000530818	0.00032007	5.57E-05	0.000176326	8.40E-05	0.000124266	2.33E-05	6.33E-05	0.000980082	7.46E-05	0.000597652
k_Bacteria|p_Proteobacteria|c_Gammaproteobacteria|o_Pseudomonadales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter_baumannii	9.39E-05	1.06E-05	4.06E-05	9.75E-05	1.75E-05	6.80E-05	3.45E-05	2.41E-05	3.19E-05	5.49E-05	1.89E-05	1.74E-05	5.11E-05	2.09E-05	1.74E-05	0.000148838	6.41E-05	2.83E-05	5.14E-05	0.00013999	1.96E-05	2.29E-05	3.65E-05	4.51E-05	9.70E-06	1.76E-05
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces_naeslundii	9.73E-06	8.23E-06	4.86E-06	1.35E-05	1.54E-05	2.58E-05	2.82E-06	8.22E-06	3.34E-06	8.63E-06	4.89E-06	3.15E-06	7.34E-06	9.87E-06	1.23E-05	3.59E-05	4.15E-06	3.91E-06	5.59E-06	1.79E-05	1.97E-05	6.65E-06	5.38E-06	7.20E-06	1.32E-06	3.79E-06
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces_oris	1.10E-05	1.54E-05	5.59E-06	6.91E-06	1.11E-05	2.20E-05	2.51E-06	5.46E-06	1.39E-05	1.72E-05	5.63E-06	5.39E-06	8.88E-06	5.78E-06	1.38E-05	3.32E-05	3.21E-06	7.01E-06	6.09E-06	1.72E-05	4.56E-06	5.41E-06	3.74E-06	7.64E-06	1.32E-06	2.55E-06
k_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces_pacaensis	2.80E-05	5.02E-06	1.55E-05	1.98E-05	9.21E-06	8.84E-05	8.30E-06	1.60E-05	3.84E-05	3.64E-05	1.01E-05	3.87E-05	5.12E-05	3.00E-05	8.59E-05	0.000105604	1.10E-05	5.93E-06	2.36E-05	2.51E-05	1.63E-05	1.99E-05	1.07E-05	2.36E-05	1.73E-05	9.28E-06
k_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Acutalibacter|s_Acutalibacter_muris	0.000204243	0.000400227	0.000401739	0.000859345	0.000744755	0.000888353	0.000271617	0.000405767	0.000706345	0.001194421	0.000238752	0.000433514	0.000302921	0.00048778	0.000855841	0.001388105	0.000273198	0.000665039	0.00043817	0.000946918	0.001430854	0.000451217	0.000487683	0.000221828	0.00011428	0.00031085
