,PWY-7003: glycerol degradation to butanol,GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation,ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),P124-PWY: Bifidobacterium shunt,P163-PWY: L-lysine fermentation to acetate and butanoate,P441-PWY: superpathway of N-acetylneuraminate degradation,PWY-2942: L-lysine biosynthesis III,PWY-4981: L-proline biosynthesis II (from arginine),PWY-5097: L-lysine biosynthesis VI,PWY-5695: urate biosynthesis/inosine 5-phosphate degradation,PWY-5973: cis-vaccenate biosynthesis,PWY-6123: inosine-5-phosphate biosynthesis I,PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,PWY-6305: putrescine biosynthesis IV,PWY-6897: thiamin salvage II,PWY-6936: seleno-amino acid biosynthesis,PWY-7111: pyruvate fermentation to isobutanol (engineered),PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I,PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II,PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II,PWY-7456: mannan degradation,PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),PWY-7663: gondoate biosynthesis (anaerobic),PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),VALSYN-PWY: L-valine biosynthesis,Alistipes_indistinctus,Alistipes_megaguti,Bacteroides_helcogenes,Ornithobacterium_rhinotracheale,Prevotella_copri,Prevotella_fusca,Prevotella_melaninogenica,Prevotella_oris,Prevotella_ruminicola,Prevotella_scopos,Streptococcus_koreensis,Streptococcus_salivarius,Collinsella_aerofaciens,Dialister_pneumosintes,Enterobacter_hormaechei,Gordonibacter_urolithinfaciens,Salmonella_enterica,neg-M137T250,neg-M183T217,neg-M203T223,neg-M403T461,neg-M435T566,neg-M438T310,neg-M453T299,neg-M556T278,neg-M595T305,pos-M270T340,pos-M290T279,pos-M302T610,pos-M305T281,pos-M332T281,pos-M332T300,pos-M341T781,pos-M351T578,pos-M355T300,pos-M527T524,pos-M547T352_2,pos-M562T663,pos-M598T306,pos-M809T572,GM_CSF,IFNg,IL_12,IL_17A,IL_1b,IL_21,IL_7,MIP_1a,TFNa
FV1801,1.41E-05,0.000153683,0.000165288,0.000194587,0,3.13E-07,0.000126269,0.000198589,1.66E-05,0.000209475,0.000348704,0.00014987,0.00017348,0.000151109,0.000107946,0.000165061,0.000197576,0.000293957,0.000179507,0.000154245,0.000154245,4.88E-06,0.000128867,0.000149506,0.000200164,0.000194587,1.04E-03,0.00079376,0.000164469,0.00000877,4.78E-03,7.93E-05,6.38E-05,4.40E-05,7.71E-05,1.50E-05,6.61E-06,4.66E-05,7.18E-03,0.000259125,1.77E-04,0.0000738,0.000769359,1257.658056,2.93E+03,1.54E+04,1721.673601,9.49E+03,8.37E+02,2.05E+04,1.48E+04,1.98E+04,4.07E+03,1247.507956,1623.754637,2613.913549,1452.834693,6937.220338,3053.813719,4.06E+03,3.22E+04,298.1548762,5178.29592,2029.037809,22413.05732,5.22E+05,4.52E+01,9.09E+01,1.77E+00,11.16,0.88,23.21,6.69E+00,3.64E+00,9.32E+00
FV1802,2.50E-05,6.52E-05,7.02E-05,0.000380665,0,7.91E-07,0.000118743,0.000427775,0.000113664,0.000434077,0.000382824,0.000255614,0.00025305,7.04E-05,0.000110254,0.000227174,6.77E-05,0.000380665,0.000238706,0.000202518,0.000202518,3.68E-05,6.59E-05,0.000248341,0.0002714,0.000380665,3.70E-04,0.000543284,0.000161903,0.0000043,2.53E-02,1.54E-04,1.77E-04,1.49E-04,2.07E-04,7.19E-05,9.32E-07,4.10E-05,1.11E-02,0.0000423,3.17E-05,0.0000424,0.000128456,2302.671784,1330.950136,1.46E+04,1.91E+03,7.55E+03,1398.307296,2.88E+03,1.43E+04,3.09E+04,6.56E+02,12163.65445,7537.434167,7.41E+03,10010.69199,33159.89043,3032.198316,3.06E+03,5.52E+03,5.19E+02,6558.000899,860.8238972,3.42E+04,257571.0226,1.95E+01,7.49E+01,1.26E+00,3.38E+00,1,25.17,3.39,3.64E+00,8.16E+00
FV1803,1.90E-05,8.36E-05,8.13E-05,0.000548655,0,0,5.31E-05,0.00059834,4.83E-05,0.000617758,0.0005074,0.000280183,0.000206986,2.83E-05,7.47E-05,0.00013379,0.000156496,0.000548655,0.000191756,0.00014872,0.00014872,2.37E-06,2.68E-05,0.000255529,0.000248156,0.000548655,0.031029266,0.001773597,0.000426323,0.0000239,0.000309192,2.99E-05,5.02E-05,2.95E-05,2.73E-05,1.05E-05,1.20E-05,1.14E-03,5.92E-03,0.0000179,0.0000202,0.0000748,0.000213063,1084.459424,13369.89457,2.79E+04,4.32E+03,4.13E+03,736.7703857,6.57E+03,4.79E+04,1.31E+04,3.49E+02,8125.786078,2681.531657,6.27E+03,8885.422726,29667.60075,1833.785592,3.08E+03,1.46E+04,958.5984364,4643.309989,1502.947629,1.56E+04,6.47E+05,2.04E+01,4.20E+01,2.06E+00,2.92E+00,7.50E-01,15.5,4.01E+00,3.64E+00,7.25E+00
FV1804,1.14E-05,0.000129219,0.000132678,0.000467333,0,0,3.30E-05,0.000492597,0.000102692,0.000529831,0.000396277,0.0003149,0.00020114,5.26E-05,0.000101295,0.000222188,1.74E-05,0.000467333,0.000108172,8.25E-05,8.25E-05,2.37E-05,4.33E-05,0.000282186,0.000150365,0.000467333,0.004092913,2.87E-03,7.72E-04,5.80E-05,0.178555029,1.36E-03,2.16E-03,1.30E-03,1.76E-03,2.84E-03,6.91E-06,0.000110748,5.59E-03,2.35E-05,5.27E-05,0.0000991,0.000337118,1944.871701,2666.205675,14606.29367,2.97E+03,4.58E+03,3516.4809,1.36E+04,1.75E+04,5.91E+03,4.57E+02,6241.283608,3904.745533,4.79E+03,7054.115335,16014.24289,6939.853912,3164.720054,1.36E+04,2497.418033,4683.942859,3084.866634,5820.172005,167794.9423,30.3,94.1,1.73E+00,5.82E+00,1.73,34.99,5.48,3.64E+00,1.23E+01
FV1806,9.04E-06,0.000268342,0.000267996,0.000676787,0,0,5.95E-05,0.000632649,9.01E-05,0.000659332,0.000484462,0.00037328,0.000391469,2.32E-05,0.000200147,0.000297131,7.96E-05,0.000676787,0.000165023,0.000126675,0.000126675,7.08E-05,2.08E-05,0.000338483,0.000208237,0.000676787,0.002271657,2.65E-03,3.48E-04,3.69E-05,0.144463381,1.04E-03,1.45E-03,1.14E-03,1.63E-03,6.81E-04,1.83E-05,2.32E-03,1.52E-02,1.41E-04,1.96E-05,0.0000867,0.000250856,1.48E+03,16771.4662,9547.929932,4.53E+03,3.13E+03,1.08E+03,24228.2528,49100.60794,3454.723409,548.2720181,8630.162867,2167.708168,7124.324732,1.03E+04,2.07E+04,9.43E+03,3078.760296,4.29E+04,798.3143351,5509.418948,2895.118343,4.04E+03,522292.2844,67.55,186.89,4.07E+00,10.44,2.29E+00,60.03,1.22E+01,1.62E+01,1.36E+01
FV1807,1.39E-05,9.29E-05,9.67E-05,0.000420524,0,0,8.71E-05,0.00041984,0.000163965,0.000449066,0.000322466,0.000258468,0.000177009,8.98E-05,8.84E-05,0.000206894,8.65E-05,0.000420524,0.00014483,0.000114956,0.000114956,7.64E-05,6.82E-05,0.000237885,0.000175883,0.000420524,0.001455953,1.83E-03,3.96E-04,6.08E-05,0.073171414,9.11E-04,1.53E-03,1.12E-03,0.001357748,8.03E-04,1.33E-05,1.68E-03,7.42E-03,5.57E-05,1.35E-04,0.000100874,0.000433592,2.18E+03,4.57E+03,76809.80753,3.68E+03,9311.130168,8.84E+02,5090.278661,23955.28322,39466.13101,3473.38475,8471.846595,3991.193486,6438.182732,8.51E+03,2.03E+04,1.30E+04,8758.657654,1.30E+04,1011.044558,5651.264677,1.09E+03,5.24E+04,466762.9954,34.65,157.36,3.88E+00,7.13,1.73,56.26,8.08E+00,7.56E+00,9.53E+00
FV1808,1.02E-05,0.000178769,0.000169248,0.000638,0,0,1.69E-05,0.000561897,6.62E-05,0.000583306,0.000444341,0.000355537,0.000281271,9.13E-05,5.83E-05,0.000342971,0.000126163,0.000638,0.000210388,0.000170458,0.000170458,9.55E-05,8.29E-05,0.000322969,0.000253168,0.000638,0.000374978,1.38E-03,1.62E-03,9.29E-06,0.0000606,0.0000276,4.75E-05,3.68E-05,4.16E-05,2.13E-05,2.32E-06,0.000339179,1.09E-02,1.33E-05,1.21E-05,0.000092,0.000243625,3.75E+03,7730.567993,12962.49591,3.14E+03,1.94E+04,7.11E+02,9099.068928,19840.53651,16154.02293,4208.88009,4.92E+03,3.29E+03,6265.924257,8.36E+03,1.84E+04,2.42E+03,4496.893061,2.11E+04,1247.560028,4807.754845,2713.908836,1.98E+04,399967.3599,87.51,266.39,5.63E+00,24.49,4.48,110.7,1.22E+01,3.73E+01,1.62E+01
FV1809,7.55E-06,0.000207323,0.000240868,0.000681111,0,0,1.72E-05,0.000723256,5.03E-05,0.000770572,0.000401443,0.000311211,0.000252495,5.94E-05,0.000178759,0.000354493,3.56E-05,0.000681111,0.000158722,0.000117484,0.000117484,0.000124312,5.18E-05,0.000266842,0.000209035,0.000681111,0.003681408,2.93E-03,0.000276102,8.68E-05,5.30E-01,9.92E-04,1.75E-03,1.04E-03,1.52E-03,6.95E-04,6.70E-05,4.47E-03,3.55E-03,1.49E-05,3.44E-05,4.41E-05,0.000346155,1.54E+03,2.78E+04,4898.466519,4836.379914,4.66E+03,6.63E+02,103326.4429,2.10E+04,5881.066076,681.8518325,21462.98913,2925.968087,1.58E+04,2.34E+04,7.11E+04,2.02E+03,1936.891023,1.72E+05,5045.035368,1.08E+04,2.74E+03,4.63E+03,1518538.689,89.35,139.89,4.16E+00,8.61,2.01,50.53,8.32E+00,7.56E+00,1.04E+01
FV1815,1.21E-05,0.000239319,0.000241401,0.000633344,0,0,4.43E-05,0.000605354,0.000133064,0.000620059,0.000453234,0.000390738,0.000321835,2.87E-05,0.000192993,0.000288492,8.21E-05,0.000633344,0.00017036,0.000128747,0.000128747,0.000116073,1.93E-05,0.000349908,0.000218916,0.000633344,0.002421703,2.48E-03,0.000887125,6.52E-05,0.232979075,1.59E-03,2.70E-03,1.56E-03,0.001953011,1.19E-03,1.61E-05,7.31E-04,2.40E-02,5.33E-04,5.35E-05,0.00010741,0.000261251,1.63E+03,9.00E+03,4291.895393,1.77E+04,5.19E+03,1.69E+03,169126.7756,19335.60924,3559.183129,824.5587012,16716.24965,2479.773771,15696.06194,1.64E+04,5.73E+04,1.91E+03,4739.947248,2.74E+05,3603.542564,6992.200478,4326.515862,3.84E+03,243948.3388,44.37,142.83,4.16E+00,9.62,2.39E+00,56.26,6.56E+00,1.50E+01,1.03E+01
FV1817,1.92E-05,0.000155715,0.000156479,0.000432252,0,3.49E-06,7.19E-05,0.000448418,0.000134866,0.000472269,0.00041508,0.000205007,0.000206238,5.17E-05,0.00012766,0.000209075,1.81E-05,0.000432252,0.000176705,0.000133105,0.000133105,3.23E-05,4.06E-05,0.000180058,0.000227564,0.000432252,0.0010268,7.56E-04,2.21E-04,1.36E-04,5.69E-03,1.45E-04,1.48E-04,8.21E-05,1.65E-04,4.79E-05,9.51E-07,4.42E-05,4.46E-02,2.69E-05,6.86E-05,1.64E-04,0.000458892,4.03E+03,5.66E+03,3.89E+04,1.52E+03,4.81E+03,1.42E+03,3.45E+03,2.08E+04,13410.77737,3886.003824,8.24E+03,5.74E+03,5.69E+03,9.07E+03,2.11E+04,8130.881266,3751.498568,8.63E+03,1060.215248,6.28E+03,1961.200409,1.65E+04,317032.1961,39.35,87.75,2.76,3.66,1.25,23.21,5.48E+00,3.64E+00,8.27E+00
