Family,stage,PEPTIDOGLYCANSYN-PWY,AAB53259,NP_344871,VFG0328,VFG0338,VFG1145,VFG1356,VFG1359,VFG1360,VFG1362,VFG1368,VFG1375,VFG1376,C.leadbetteri,C.hylemonae,D.welbionis,E.hormaechei,E.ramosum,F.alocis,F.nucleatum,K.pneumoniae,L.wadei,M.bovis,O.uli,P.multocida,P.intermedia,P.oris,R.gnavus,S.aureus,S.australis,S.gwangjuense,S.mitis,S.oralis,T.forsythia,T.denticola
MFVS11801,stage1,0.000514925,0,21.9010836,0,0,0,0,5.896445585,0,0,0,0,0,0.006793439,4.85E-06,8.08E-06,9.70E-06,6.47E-06,0.00110745,0.04916432,0.005829876,0.004968167,0.001288522,1.13E-05,0.004154959,0.00750641,0.001587615,1.13E-05,0.004365132,0.001391992,0.004250345,0.035794082,0.00639411,0.042763743,0.010038187
MFVS11802,stage1,0.000724027,0,21.9010836,0,0,0,0,5.896445585,0,0,0,0,0,0.000668211,2.94E-06,0,1.03E-05,1.47E-06,0.000536037,0.003498193,0.007254858,0.002067782,2.94E-05,5.87E-06,0.004705378,0.006827497,0.000630027,7.34E-06,0.004524741,0.002709557,0.006780502,0.075747184,0.011879464,0.000105739,0.000136579
MFVS11803,stage1,0.000678805,0,41.39981999,0,0,0,6.021791998,16.55992799,0,4.675744375,5.519975998,6.021791998,0,0.000198887,1.13E-05,6.25E-06,8.13E-06,6.88E-06,0.00088561,0.006314349,0.002859469,0.013672542,6.25E-06,2.56E-05,0.001869413,0.183269352,0.006602047,4.44E-05,0.001926952,0.003042095,0.004597542,0.052073366,0.013186582,0.000407781,0.000176371
MFVS11804,stage1,0.000742606,0,177.6028117,0,0,0,0,108.4203211,19.15647392,0,0,31.54045705,160.1284743,0.000764743,5.99E-06,1.20E-05,2.39E-05,4.49E-06,0.001104463,0.002877889,0.001999407,0.004275679,0.000341216,5.99E-06,0.002274775,0.026598403,0.002274775,1.95E-05,0.002957207,0.006673172,0.018813286,0.220900092,0.033772924,0.000948821,0.000493866
MFVS11806,stage1,0.000661154,2.10778405,57.49930153,0,0,0,23.64383847,27.40119265,9.310457153,9.635584228,6.898202345,4.598801563,0,0.000399981,4.28E-06,0,1.33E-05,6.65E-06,0.00026507,0.001476888,0.001703005,0.003250199,7.60E-06,9.50E-06,0.001283073,0.005776442,0.001680204,1.09E-05,0.001120611,0.003871071,0.010169103,0.104799672,0.01972636,0.000488337,0.000312099
MFVS11807,stage1,0.000596434,0,136.5870132,0,0,6.353674495,5.776067723,116.4840324,0,0,0,0,0,0.000144764,1.06E-06,7.40E-06,3.17E-06,3.17E-06,6.34E-05,0.001089432,0.002400765,0.004862817,3.17E-06,4.23E-06,0.002288758,0.003296825,0.002097499,1.80E-05,0.002630063,0.00344476,0.012046092,0.132909607,0.017091714,9.62E-05,3.59E-05
MFVS11808,stage1,0.000347453,0,90.49690142,0,0,0,0,12.98296365,0,0,0,0,0,0.00098239,4.27E-06,1.28E-05,0,8.54E-06,0.016401635,0.040850322,0.01068669,0.007487517,1.71E-05,0,0.008606587,0.013407482,0.00172986,3.42E-05,0.011511043,0.002571298,0.009187478,0.110506016,0.017302871,0.016683538,0.013766268
MFVS11809,stage1,0.000594619,0,55.95927172,0,0,1.252471188,26.12105687,35.48668367,4.174903961,8.682469592,6.831661027,0,0,0.002963255,7.90E-07,4.21E-06,1.97E-05,1.32E-05,0.000355928,0.005000625,0.001207311,0.001528225,4.90E-05,5.27E-06,0.000782146,0.007240179,0.001218631,2.29E-05,0.000845328,0.003184657,0.008672577,0.089401544,0.015575519,0.000963005,0.000432536
MFVS11815,stage1,0.000561655,0,60.83518177,0,0,0,49.90883983,58.19017387,0,0,19.39672462,0,214.8560266,0.000202532,2.70E-06,8.10E-06,0,2.70E-06,0.001820092,0.009329996,0.020793333,0.000764223,0.006907707,2.70E-06,0.015951457,0.029105266,0.001066671,1.35E-05,0.014323096,0.00461774,0.013396848,0.138197353,0.021776291,0.00056169,0.003729298
MFVS11817,stage1,0.000573001,0,31.06158117,0,0,0,0,13.20325947,0,0,0,0,0,0.001068842,1.30E-05,1.92E-05,4.95E-06,1.11E-05,0.000591669,0.003844614,0.002125925,0.018939612,1.49E-05,3.34E-05,0.001320735,0.018626448,0.003251706,3.47E-05,0.001801621,0.002483031,0.004199863,0.041753545,0.009689516,0.000877602,0.000199286
