gene_id,C4.gene_counts,C5.gene_counts,C7.gene_counts,T10.gene_counts,T11.gene_counts,T8.gene_counts
ENSMUSG00000104478,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0
ENSMUSG00000086053,0,0,0,0,0,0
ENSMUSG00000101231,0,0,0,0,0,0
ENSMUSG00000102135,0,0,3,0,1,0
ENSMUSG00000103282,0,0,0,0,0,0
ENSMUSG00000101097,0,0,0,0,0,0
ENSMUSG00000100764,1,0,0,0,4,0
ENSMUSG00000102534,0,0,0,0,0,0
ENSMUSG00000100831,0,0,0,0,0,0
ENSMUSG00000100884,0,0,0,0,0,0
ENSMUSG00000100635,0,0,0,0,4,0
ENSMUSG00000102213,0,0,0,0,0,0
ENSMUSG00000100480,2,6,1,3,3,3
ENSMUSG00000089037,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0
ENSMUSG00002076531,0,0,0,0,0,0
ENSMUSG00000100025,0,0,0,0,0,0
ENSMUSG00000051285,2471,2619,1427,2869,3158,3055
ENSMUSG00000098201,3,6,0,6,2,3
ENSMUSG00000103509,345,328,62,294,281,357
ENSMUSG00000048538,15,4,8,5,6,6
ENSMUSG00000103709,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0
ENSMUSG00000097797,0,1,1,4,0,2
ENSMUSG00000103498,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0
ENSMUSG00000026312,0,0,0,0,0,0
ENSMUSG00000100290,0,0,0,0,0,0
ENSMUSG00000100758,0,0,0,0,0,0
ENSMUSG00000099926,0,0,0,0,0,0
ENSMUSG00000039748,620,561,513,501,718,945
ENSMUSG00000118715,0,0,0,0,0,0
ENSMUSG00000104158,0,0,0,0,0,0
ENSMUSG00000103540,0,0,0,0,0,0
ENSMUSG00000057363,206,167,137,161,183,152
ENSMUSG00000047216,0,0,0,0,0,0
ENSMUSG00000102788,0,0,0,0,0,0
ENSMUSG00000102160,0,0,0,0,0,0
ENSMUSG00000101253,0,0,0,0,0,0
ENSMUSG00000101846,0,0,0,0,0,0
ENSMUSG00000090243,3,8,1,5,3,12
ENSMUSG00000100701,0,1,1,0,0,0
ENSMUSG00000100555,0,0,0,0,0,0
ENSMUSG00000101395,0,0,0,0,0,0
ENSMUSG00000102728,0,0,0,0,0,0
ENSMUSG00000088848,0,0,0,0,0,0
ENSMUSG00002075225,0,0,0,0,0,1
ENSMUSG00000038702,22,15,11,28,47,9
ENSMUSG00000101875,0,0,0,0,0,0
ENSMUSG00000099732,0,0,0,0,0,0
ENSMUSG00000101220,0,0,0,0,0,0
ENSMUSG00000100020,0,0,0,0,0,0
ENSMUSG00000101054,0,0,0,0,0,0
ENSMUSG00000088691,0,0,0,0,0,0
ENSMUSG00000099884,0,0,0,0,0,0
ENSMUSG00000100304,0,0,0,0,0,0
ENSMUSG00000101453,0,0,0,0,0,0
ENSMUSG00000102105,0,0,0,0,0,0
ENSMUSG00000099943,0,0,0,0,0,0
ENSMUSG00002075119,0,0,0,0,0,0
ENSMUSG00000097648,0,0,0,0,0,0
ENSMUSG00000101687,0,0,0,0,0,0
ENSMUSG00000100515,0,0,0,0,0,0
ENSMUSG00000033021,798,713,652,467,685,665
ENSMUSG00000055214,0,0,0,0,0,0
ENSMUSG00000078184,1,1,2,0,0,0
ENSMUSG00000104363,0,0,0,0,0,0
ENSMUSG00000103277,0,0,0,0,0,0
ENSMUSG00000104157,0,0,0,0,0,0
ENSMUSG00000102446,0,0,0,0,0,0
ENSMUSG00000104248,0,0,0,0,0,0
ENSMUSG00000104021,0,0,0,0,0,0
ENSMUSG00000103471,0,0,0,0,0,0
ENSMUSG00000087875,0,0,0,0,0,0
ENSMUSG00000033007,2,0,2,0,0,0
ENSMUSG00000102605,0,2,0,6,0,1
ENSMUSG00000070695,0,0,0,0,0,0
ENSMUSG00000025909,0,0,0,0,0,0
ENSMUSG00002076179,0,0,0,0,0,0
ENSMUSG00000102033,0,0,0,0,0,0
ENSMUSG00000102647,0,0,0,0,0,0
ENSMUSG00000086235,0,0,0,0,0,0
ENSMUSG00000102253,0,0,0,0,0,0
ENSMUSG00002074990,0,0,0,0,0,0
ENSMUSG00000094429,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0
ENSMUSG00000084353,1,6,2,4,3,0
ENSMUSG00000103933,1,0,0,0,0,0
ENSMUSG00002075967,0,0,0,0,0,0
ENSMUSG00000086195,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,0,0
ENSMUSG00000066693,0,0,0,0,0,0
ENSMUSG00000102316,0,0,0,0,0,0
ENSMUSG00000103819,0,0,0,0,0,0
ENSMUSG00000102871,0,0,0,0,0,0
ENSMUSG00000101571,0,0,0,0,0,0
ENSMUSG00000104428,0,0,0,0,0,0
